id,virus,treatment,concentration,replicate,fluo,assay,file.name
A1,K723E,mAb,0.01,1,6,Neutralization,K723E
A2,K723E,mAb,0.01,2,6,Neutralization,K723E
B1,K723E,mAb,3.3333333333333335E-3,1,18,Neutralization,K723E
B2,K723E,mAb,3.3333333333333335E-3,2,24,Neutralization,K723E
C1,K723E,mAb,1.1111111111111111E-3,1,134,Neutralization,K723E
C2,K723E,mAb,1.1111111111111111E-3,2,131,Neutralization,K723E
D1,K723E,mAb,3.7037037037037035E-4,1,479,Neutralization,K723E
D2,K723E,mAb,3.7037037037037035E-4,2,496,Neutralization,K723E
E1,K723E,mAb,1.2345679012345679E-4,1,887,Neutralization,K723E
E2,K723E,mAb,1.2345679012345679E-4,2,774,Neutralization,K723E
F1,K723E,mAb,4.1149999999999997E-5,1,1027,Neutralization,K723E
F2,K723E,mAb,4.1149999999999997E-5,2,927,Neutralization,K723E
G1,K723E,negative,0,1,1041,Neutralization,K723E
G2,K723E,negative,0,2,1157,Neutralization,K723E
G3,K723E,negative,0,3,1177,Neutralization,K723E
G4,K723E,negative,0,4,1238,Neutralization,K723E
G5,K723E,negative,0,5,1201,Neutralization,K723E
G6,K723E,negative,0,6,1205,Neutralization,K723E
G7,K723E,negative,0,7,1354,Neutralization,K723E
G8,K723E,negative,0,8,1183,Neutralization,K723E
H1,K723E,empty,0,1,6,Neutralization,K723E
H2,K723E,empty,0,2,3,Neutralization,K723E
H3,K723E,empty,0,3,3,Neutralization,K723E
H4,K723E,empty,0,4,3,Neutralization,K723E
H5,K723E,empty,0,5,3,Neutralization,K723E
H6,K723E,empty,0,6,2,Neutralization,K723E
H7,K723E,empty,0,7,4,Neutralization,K723E
H8,K723E,empty,0,8,3,Neutralization,K723E
